Close Minus 20,Close Minus 19,Close Minus 18,Close Minus 17,Close Minus 16,Close Minus 15,Close Minus 14,Close Minus 13,Close Minus 12,Close Minus 11,Close Minus 10,Close Minus 9,Close Minus 8,Close Minus 7,Close Minus 6,Close Minus 5,Close Minus 4,Close Minus 3,Close Minus 2,Close Minus 1,close
10.184,10.193999999999999,10.373,10.492,10.472000000000001,10.312999999999999,10.224,10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76
10.193999999999999,10.373,10.492,10.472000000000001,10.312999999999999,10.224,10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75
10.373,10.492,10.472000000000001,10.312999999999999,10.224,10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909
10.492,10.472000000000001,10.312999999999999,10.224,10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998
10.472000000000001,10.312999999999999,10.224,10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571
10.312999999999999,10.224,10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001
10.224,10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552
10.274000000000001,10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999
10.125,9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81
9.331,9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365
9.618,9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998
9.787,9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415
9.757,10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999
10.462,10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998
10.600999999999999,10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77
10.472000000000001,10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69
10.462,10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78
10.552,10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78,10.859000000000002
10.373,10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78,10.859000000000002,10.76
10.512,10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78,10.859000000000002,10.76,10.919
10.76,10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78,10.859000000000002,10.76,10.919,10.7
10.75,10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78,10.859000000000002,10.76,10.919,10.7,10.402999999999999
10.909,10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78,10.859000000000002,10.76,10.919,10.7,10.402999999999999,10.462
10.640999999999998,10.571,10.879000000000001,10.552,10.610999999999999,10.81,11.365,11.265999999999998,11.415,11.235999999999999,10.998,10.77,10.69,10.78,10.859000000000002,10.76,10.919,10.7,10.402999999999999,10.462,10.432
