Close Minus 20,Close Minus 19,Close Minus 18,Close Minus 17,Close Minus 16,Close Minus 15,Close Minus 14,Close Minus 13,Close Minus 12,Close Minus 11,Close Minus 10,Close Minus 9,Close Minus 8,Close Minus 7,Close Minus 6,Close Minus 5,Close Minus 4,Close Minus 3,Close Minus 2,Close Minus 1,close
8.883,8.883,8.892000000000001,8.854,8.873,8.873,8.863,8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019
8.883,8.892000000000001,8.854,8.873,8.873,8.863,8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019
8.892000000000001,8.854,8.873,8.873,8.863,8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999
8.854,8.873,8.873,8.863,8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048
8.873,8.873,8.863,8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125
8.873,8.863,8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125,9.116
8.863,8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125,9.116,9.164
8.873,8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125,9.116,9.164,9.174
8.883,8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125,9.116,9.164,9.174,9.106
8.863,8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125,9.116,9.164,9.174,9.106,9.271
8.873,8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125,9.116,9.164,9.174,9.106,9.271,9.28
8.892000000000001,8.902000000000001,8.941,8.941,8.988999999999999,8.98,9.048,8.98,9.027999999999999,9.019,9.019,9.027999999999999,9.048,9.125,9.116,9.164,9.174,9.106,9.271,9.28,9.28
