code,date,open,high,close,low
000002,2018-01-02,31.45,32.99,32.56,31.45
000002,2018-01-03,32.5,33.78,32.33,32.23
000002,2018-01-04,32.76,33.53,33.12,32.1
000002,2018-01-05,32.98,35.88,34.76,32.8
000002,2018-01-08,35.11,36.96,35.99,35.11
000002,2018-01-09,35.63,36.11,35.84,34.95
000002,2018-01-10,35.6,36.7,35.67,35.5
000002,2018-01-11,35.55,35.78,35.15,34.54
000002,2018-01-12,35.1,36.62,35.55,35.09
000002,2018-01-15,35.84,38.0,37.09,35.61
000002,2018-01-16,36.5,40.7,40.2,36.4
000002,2018-01-17,39.48,40.6,39.77,38.3
000002,2018-01-18,39.6,40.64,39.76,38.9
000002,2018-01-19,39.85,41.09,39.42,39.25
000002,2018-01-22,39.0,39.84,39.53,38.51
000002,2018-01-23,40.0,41.51,40.98,39.99
000002,2018-01-24,40.7,42.24,41.13,40.46
000002,2018-01-25,41.12,41.12,40.2,38.8
000002,2018-01-26,40.0,40.66,40.04,39.12
000002,2018-01-29,40.38,40.56,38.57,38.09
000002,2018-01-30,38.0,38.0,36.36,36.27
000002,2018-01-31,36.61,37.76,37.56,35.62
000002,2018-02-01,37.5,38.04,37.5,36.9
000002,2018-02-02,36.5,37.9,37.38,35.8
000002,2018-02-05,36.8,38.06,36.99,36.31
000002,2018-02-06,35.93,36.1,35.82,34.88
000002,2018-02-07,36.43,36.58,32.98,32.5
000002,2018-02-08,33.0,33.88,32.75,32.49
000002,2018-02-09,31.5,31.96,31.27,30.2
000002,2018-02-12,31.43,32.32,31.9,31.31
000002,2018-02-13,32.28,33.79,32.73,32.28
000002,2018-02-14,32.87,33.32,33.17,32.17
000002,2018-02-22,34.0,34.05,33.7,33.33
000002,2018-02-23,33.9,35.1,34.72,33.33
000002,2018-02-26,35.07,35.1,34.18,33.11
000002,2018-02-27,34.2,34.28,32.9,32.65
000002,2018-02-28,32.51,33.23,32.7,31.84
000002,2018-03-01,32.17,33.09,32.41,32.02
000002,2018-03-02,32.0,32.73,32.28,31.51
000002,2018-03-05,32.49,33.15,32.18,32.07
000002,2018-03-06,32.35,33.71,33.67,32.01
000002,2018-03-07,33.44,33.92,32.9,32.8
000002,2018-03-08,33.4,33.74,33.64,32.85
000002,2018-03-09,33.87,33.91,33.46,33.34
000002,2018-03-12,33.54,33.68,32.62,32.35
000002,2018-03-13,32.59,32.84,32.48,32.37
000002,2018-03-14,32.44,32.95,32.7,32.2
000002,2018-03-15,32.5,33.1,32.66,32.41
000002,2018-03-16,32.58,33.35,32.63,32.5
000002,2018-03-19,32.57,32.58,31.58,31.52
000002,2018-03-20,31.4,31.59,31.34,30.75
000002,2018-03-21,31.47,32.15,31.66,31.31
000002,2018-03-22,31.8,31.88,31.18,31.04
000002,2018-03-23,30.02,31.07,31.07,29.21
000002,2018-03-26,30.76,30.79,30.33,29.9
000002,2018-03-27,30.89,31.87,31.02,30.71
000002,2018-03-28,30.51,32.15,31.33,30.3
000002,2018-03-29,31.54,34.46,34.16,31.03
000002,2018-03-30,33.7,33.99,33.29,33.17
000002,2018-04-02,33.65,34.47,33.49,33.32
000002,2018-04-03,33.2,34.1,33.64,32.52
000002,2018-04-04,32.3,33.95,32.8,32.1
000002,2018-04-09,32.7,32.76,31.62,30.96
000002,2018-04-10,31.52,32.18,32.18,31.06
000002,2018-04-11,32.15,33.24,32.61,31.73
000002,2018-04-12,32.57,32.86,31.85,31.75
000002,2018-04-13,32.16,32.24,31.25,31.03
000002,2018-04-16,31.2,31.23,30.03,29.56
000002,2018-04-17,30.16,30.55,29.92,29.6
000002,2018-04-18,30.29,30.69,30.04,29.74
000002,2018-04-19,30.33,30.53,30.23,30.03
000002,2018-04-20,30.18,30.5,30.15,29.92
000002,2018-04-23,29.88,30.29,29.91,29.79
000002,2018-04-24,29.85,31.1,30.93,29.8
000002,2018-04-25,30.65,30.65,30.12,29.96
000002,2018-04-26,30.3,30.3,28.5,28.26
000002,2018-04-27,28.66,28.75,28.4,27.42
000002,2018-05-02,28.4,28.66,27.68,27.63
000002,2018-05-03,27.65,27.66,27.33,26.56
000002,2018-05-04,27.26,27.56,26.91,26.81
000002,2018-05-07,27.01,27.51,27.38,26.72
000002,2018-05-08,27.4,28.86,28.69,27.33
000002,2018-05-09,28.5,28.5,28.2,28.0
000002,2018-05-10,28.32,28.53,28.07,27.7
000002,2018-05-11,28.1,28.19,27.94,27.73
000002,2018-05-14,28.08,28.29,27.94,27.87
000002,2018-05-15,28.11,28.15,27.75,27.34
000002,2018-05-16,27.55,27.75,27.23,27.21
000002,2018-05-17,27.19,27.22,26.79,26.77
000002,2018-05-18,26.7,27.15,27.15,26.53
000002,2018-05-21,27.23,27.31,27.07,26.81
000002,2018-05-22,27.05,27.05,26.72,26.58
000002,2018-05-23,26.72,27.17,26.8,26.56
000002,2018-05-24,26.8,26.85,26.65,26.52
000002,2018-05-25,26.68,26.91,26.39,26.32
000002,2018-05-28,26.39,26.82,26.5,26.3
000002,2018-05-29,26.3,26.37,25.6,25.34
000002,2018-05-30,25.21,25.21,24.64,24.58
000002,2018-05-31,24.77,25.68,25.59,24.56
000002,2018-06-01,25.39,26.46,26.0,25.3
000002,2018-06-04,26.3,27.38,27.3,26.28
000002,2018-06-05,27.29,27.77,27.49,26.84
000002,2018-06-06,27.3,27.54,26.99,26.85
000002,2018-06-07,27.07,27.64,27.39,26.95
000002,2018-06-08,27.1,27.18,26.71,26.55
000002,2018-06-11,26.74,27.73,27.31,26.68
000002,2018-06-12,27.57,27.83,27.71,27.23
000002,2018-06-13,27.41,28.25,27.64,27.31
000002,2018-06-14,27.48,27.76,27.37,27.12
000002,2018-06-15,27.37,28.3,27.99,27.33
000002,2018-06-19,27.85,27.85,27.1,26.91
000002,2018-06-20,26.99,27.29,26.96,26.41
000002,2018-06-21,26.97,28.5,27.73,26.82
000002,2018-06-22,27.5,28.2,28.1,27.44
000002,2018-06-25,28.25,28.38,26.49,26.41
000002,2018-06-26,25.82,26.06,25.54,24.83
000002,2018-06-27,25.5,25.51,24.22,23.81
000002,2018-06-28,23.86,24.57,23.88,23.5
000002,2018-06-29,24.1,24.6,24.6,23.89
000002,2018-07-02,24.5,24.55,22.8,22.52
000002,2018-07-03,23.1,23.48,23.42,22.8
000002,2018-07-04,23.46,23.75,23.0,23.0
000002,2018-07-05,23.02,23.41,23.05,22.85
000002,2018-07-06,23.34,23.6,23.21,22.65
000002,2018-07-09,23.37,24.05,24.01,23.37
000002,2018-07-10,24.2,24.49,24.15,23.77
000002,2018-07-11,23.48,23.63,23.46,23.17
000002,2018-07-12,23.58,24.22,23.85,23.47
000002,2018-07-13,24.24,24.35,23.72,23.64
