code,date,open,high,close,low
000001,2017-01-03,8.834,8.902,8.883,8.815
000001,2017-01-04,8.873,8.902,8.883,8.863
000001,2017-01-05,8.892,8.902,8.892,8.873
000001,2017-01-06,8.892,8.892,8.854,8.834
000001,2017-01-09,8.854,8.892,8.873,8.834
000001,2017-01-10,8.873,8.883,8.873,8.863
000001,2017-01-11,8.863,8.892,8.863,8.854
000001,2017-01-12,8.854,8.892,8.873,8.854
000001,2017-01-13,8.863,8.912,8.883,8.844
000001,2017-01-16,8.873,8.883,8.863,8.796
000001,2017-01-17,8.844,8.883,8.873,8.825
000001,2017-01-18,8.863,8.912,8.892,8.854
000001,2017-01-19,8.873,8.96,8.902,8.873
000001,2017-01-20,8.892,8.951,8.941,8.892
000001,2017-01-23,8.941,8.98,8.941,8.922
000001,2017-01-24,8.951,8.999,8.989,8.922
000001,2017-01-25,8.989,8.999,8.98,8.97
000001,2017-01-26,8.989,9.057,9.048,8.98
000001,2017-02-03,9.057,9.077,8.98,8.951
000001,2017-02-06,8.98,9.038,9.028,8.98
000001,2017-02-07,9.028,9.038,9.019,8.989
000001,2017-02-08,9.009,9.019,9.019,8.96
000001,2017-02-09,9.019,9.048,9.028,8.999
000001,2017-02-10,9.038,9.077,9.048,9.028
000001,2017-02-13,9.057,9.154,9.125,9.048
000001,2017-02-14,9.125,9.135,9.116,9.086
000001,2017-02-15,9.116,9.251,9.164,9.106
000001,2017-02-16,9.164,9.213,9.174,9.135
000001,2017-02-17,9.174,9.203,9.106,9.086
000001,2017-02-20,9.116,9.29,9.271,9.116
000001,2017-02-21,9.261,9.329,9.28,9.251
000001,2017-02-22,9.28,9.28,9.28,9.213
000001,2017-02-23,9.261,9.28,9.222,9.193
000001,2017-02-24,9.213,9.251,9.213,9.193
000001,2017-02-27,9.213,9.213,9.145,9.135
000001,2017-02-28,9.145,9.222,9.193,9.135
000001,2017-03-01,9.203,9.261,9.203,9.183
000001,2017-03-02,9.222,9.251,9.145,9.135
000001,2017-03-03,9.125,9.145,9.116,9.077
000001,2017-03-06,9.116,9.174,9.164,9.106
000001,2017-03-07,9.154,9.174,9.164,9.116
000001,2017-03-08,9.145,9.164,9.135,9.116
000001,2017-03-09,9.125,9.145,9.096,9.077
000001,2017-03-10,9.096,9.125,9.116,9.077
000001,2017-03-13,9.106,9.164,9.154,9.086
000001,2017-03-14,9.145,9.174,9.154,9.125
000001,2017-03-15,9.135,9.193,9.193,9.135
000001,2017-03-16,9.193,9.242,9.232,9.164
000001,2017-03-17,9.164,9.174,9.028,9.019
000001,2017-03-20,9.009,9.028,8.97,8.941
000001,2017-03-21,8.97,8.98,8.96,8.922
000001,2017-03-22,8.922,8.941,8.883,8.863
000001,2017-03-23,8.883,8.96,8.922,8.873
000001,2017-03-24,8.922,8.96,8.912,8.883
000001,2017-03-27,8.844,8.912,8.863,8.805
000001,2017-03-28,8.883,8.892,8.844,8.825
000001,2017-03-29,8.854,8.873,8.834,8.815
000001,2017-03-30,8.844,8.844,8.805,8.786
000001,2017-03-31,8.805,8.902,8.892,8.805
000001,2017-04-05,8.883,8.941,8.931,8.873
000001,2017-04-06,8.922,8.941,8.922,8.892
000001,2017-04-07,8.912,8.941,8.922,8.892
000001,2017-04-10,8.922,8.931,8.902,8.892
000001,2017-04-11,8.892,8.912,8.873,8.815
000001,2017-04-12,8.883,8.892,8.844,8.825
000001,2017-04-13,8.834,8.863,8.844,8.825
000001,2017-04-14,8.834,8.844,8.805,8.786
000001,2017-04-17,8.805,8.834,8.825,8.776
000001,2017-04-18,8.815,8.825,8.776,8.776
000001,2017-04-19,8.757,8.766,8.64,8.631
000001,2017-04-20,8.631,8.669,8.65,8.621
000001,2017-04-21,8.65,8.718,8.699,8.631
000001,2017-04-24,8.699,8.708,8.66,8.621
000001,2017-04-25,8.66,8.737,8.728,8.66
000001,2017-04-26,8.728,8.737,8.718,8.689
000001,2017-04-27,8.699,8.708,8.699,8.64
000001,2017-04-28,8.689,8.718,8.718,8.65
000001,2017-05-02,8.689,8.689,8.669,8.631
000001,2017-05-03,8.65,8.66,8.64,8.621
000001,2017-05-04,8.621,8.621,8.476,8.456
000001,2017-05-05,8.476,8.495,8.369,8.32
