code,date,open,high,close,low
000636,2017-01-03,9.688,10.363,10.184,9.688
000636,2017-01-04,10.135,10.284,10.194,10.065
000636,2017-01-05,10.214,10.611,10.373,10.194
000636,2017-01-06,10.343,10.552,10.492,10.254
000636,2017-01-09,10.422,10.591,10.472,10.353
000636,2017-01-10,10.432,10.561,10.313,10.254
000636,2017-01-11,10.293,10.363,10.224,10.164
000636,2017-01-12,10.274,10.432,10.274,10.125
000636,2017-01-13,10.244,10.432,10.125,10.115
000636,2017-01-16,10.025,10.065,9.331,9.112
000636,2017-01-17,9.241,9.797,9.618,9.211
000636,2017-01-18,9.599,9.926,9.787,9.599
000636,2017-01-19,9.728,9.906,9.757,9.688
000636,2017-01-20,9.738,10.7,10.462,9.738
000636,2017-01-23,10.452,10.8,10.601,10.353
000636,2017-01-24,10.512,10.7,10.472,10.403
000636,2017-01-25,10.472,10.581,10.462,10.303
000636,2017-01-26,10.472,10.78,10.552,10.442
000636,2017-02-03,10.522,10.591,10.373,10.254
000636,2017-02-06,10.363,10.512,10.512,10.284
000636,2017-02-07,10.502,10.829,10.76,10.452
000636,2017-02-08,10.681,10.75,10.75,10.472
000636,2017-02-09,10.71,10.958,10.909,10.651
000636,2017-02-10,10.939,10.939,10.641,10.552
000636,2017-02-13,10.581,10.69,10.571,10.442
000636,2017-02-14,10.571,10.889,10.879,10.442
000636,2017-02-15,10.82,10.988,10.552,10.522
000636,2017-02-16,10.492,10.641,10.611,10.373
000636,2017-02-17,10.522,11.286,10.81,10.462
000636,2017-02-20,10.76,11.713,11.365,10.76
000636,2017-02-21,11.276,11.336,11.266,11.068
000636,2017-02-22,11.167,11.445,11.415,11.088
000636,2017-02-23,11.415,11.504,11.236,11.127
000636,2017-02-24,11.207,11.276,10.998,10.869
000636,2017-02-27,11.008,11.078,10.77,10.75
000636,2017-02-28,10.77,10.81,10.69,10.591
000636,2017-03-01,10.69,10.958,10.78,10.651
000636,2017-03-02,10.75,10.998,10.859,10.74
000636,2017-03-03,10.78,10.859,10.76,10.641
000636,2017-03-06,10.71,10.939,10.919,10.681
000636,2017-03-07,10.919,10.958,10.7,10.631
000636,2017-03-08,10.7,10.71,10.403,10.363
000636,2017-03-09,10.403,10.522,10.462,10.244
000636,2017-03-10,10.452,10.502,10.432,10.373
000636,2017-03-13,10.482,10.7,10.641,10.353
000636,2017-03-14,10.7,10.82,10.72,10.502
000636,2017-03-15,10.611,10.631,10.462,10.432
000636,2017-03-16,10.522,10.77,10.7,10.482
000636,2017-03-17,10.72,11.167,10.899,10.671
000636,2017-03-20,10.889,11.008,10.978,10.79
000636,2017-03-21,10.869,10.939,10.849,10.78
000636,2017-03-22,10.829,10.849,10.8,10.561
000636,2017-03-23,10.74,10.998,10.998,10.651
000636,2017-03-24,10.929,11.038,10.988,10.849
000636,2017-03-27,10.988,10.988,10.651,10.621
000636,2017-03-28,10.601,10.71,10.552,10.552
000636,2017-03-29,10.561,10.611,10.403,10.403
000636,2017-03-30,10.353,10.393,10.115,9.936
000636,2017-03-31,10.154,10.224,10.154,10.045
000636,2017-04-05,10.145,10.363,10.303,10.115
000636,2017-04-06,10.274,10.373,10.204,10.194
000636,2017-04-07,10.244,10.522,10.442,10.214
000636,2017-04-10,10.422,10.522,10.462,10.333
000636,2017-04-11,10.224,10.432,10.383,10.174
000636,2017-04-12,10.373,10.561,10.413,10.333
000636,2017-04-13,10.413,10.413,10.204,10.125
000636,2017-04-14,10.125,10.204,9.906,9.857
000636,2017-04-17,9.906,9.956,9.618,9.589
000636,2017-04-18,9.708,9.718,9.4,9.4
000636,2017-04-19,9.4,9.43,8.864,8.546
000636,2017-04-20,8.795,8.884,8.864,8.616
000636,2017-04-21,8.864,9.003,8.963,8.814
000636,2017-04-24,9.003,9.073,8.269,8.199
000636,2017-04-25,8.298,8.596,8.388,8.298
000636,2017-04-26,8.477,8.586,8.487,8.378
000636,2017-04-27,8.477,8.546,8.497,8.199
000636,2017-04-28,8.497,8.656,8.606,8.447
000636,2017-05-02,8.586,8.695,8.656,8.537
000636,2017-05-03,8.685,8.725,8.507,8.427
000636,2017-05-04,8.467,8.705,8.646,8.447
000636,2017-05-05,8.596,8.636,8.378,8.348
000636,2017-05-08,8.378,8.427,8.229,8.209
000636,2017-05-09,8.159,8.328,8.229,8.01
000636,2017-05-10,8.229,8.457,8.318,8.07
000636,2017-05-11,8.209,8.278,8.278,7.991
